game_date,player_id,player_name,team_abbr,signal_fair_value,forward_delta_game_score,signal_projection
2021-04-10,1629652,Luguentz Dort,OKC,78.13701056086475,12.091428571428567,0.020557990148781666
2022-03-02,1630570,Trendon Watford,POR,73.79863300972892,11.978333333333332,0.3964679848801368
2024-11-13,1642261,Dalton Knecht,LAL,73.66526682206242,11.938181818181821,0.049096162874108645
2020-01-11,1629008,Michael Porter Jr.,DEN,68.30776155685389,11.891724137931035,0.19660218859704992
2022-02-02,1630560,Cam Thomas,BKN,70.84531379329555,11.86,-0.04799652484372172
2026-01-26,1630611,Gui Santos,GSW,69.68591673348499,11.844864864864864,0.243174522309725
2025-02-20,1628380,Zach Collins,CHI,75.4424236681466,11.76105263157895,-0.34815043204277524
2022-03-16,1630202,Payton Pritchard,BOS,71.57586415096712,11.722372881355932,0.04617286388122223
2026-01-29,1642860,Will Riley,WAS,67.98173460297201,11.707368421052632,0.11517318118387743
2024-01-13,1631246,Vince Williams Jr.,MEM,75.05139724686454,11.696551724137933,0.6042762377867404
2020-02-09,1629632,Coby White,CHI,77.03180985267151,11.677037037037039,-0.005831677817170061
2019-01-29,1629026,Kenrich Williams,NOP,63.80595745962522,11.593333333333334,0.2678113018730577
2021-02-06,1630180,Saddiq Bey,DET,70.13771043802637,11.574285714285715,-0.03497600005839684
2019-03-04,1628973,Jalen Brunson,DAL,77.90065161889032,11.527272727272726,0.360138580195528
2020-03-10,1629018,Gary Trent Jr.,POR,69.96749410837774,11.505283018867926,0.36673505411400265
2024-11-10,1642272,Jared McCain,PHI,78.43714850781933,11.49777777777778,0.23338073632213258
2022-01-08,1629599,Amir Coffey,LAC,71.72426692953671,11.473333333333333,0.6473195522476048
2022-03-12,1629048,Goga Bitadze,IND,74.9687714098956,11.450000000000001,0.5286183266308473
2023-03-28,1629004,Svi Mykhailiuk,CHA,75.33016509481475,11.430370370370369,0.7223705715058109
2022-02-12,1630544,Tre Mann,OKC,69.1314682786076,11.427906976744186,0.035327135038721064
2020-01-12,1629008,Michael Porter Jr.,DEN,70.3565964723569,11.413333333333334,0.06741404557588242
2021-12-27,1629014,Anfernee Simons,POR,77.59531288524526,11.313103448275863,-0.11169388176870179
2021-01-06,1630178,Tyrese Maxey,PHI,65.94500238255438,11.312500000000002,0.05654801404653967
2021-12-15,1629622,Max Strus,MIA,73.02723529884217,11.30181818181818,-0.09279776309565343
2025-03-06,1641737,Adem Bona,PHI,64.65599263486435,11.266511627906976,0.1188514112456738
2022-03-08,1629048,Goga Bitadze,IND,74.4468250489122,11.234146341463415,0.433602427285374
2026-03-23,1641712,Rayan Rupert,MEM,67.05373485563796,11.231186440677964,0.5901841843418378
2026-02-06,1641765,Olivier-Maxence Prosper,MEM,70.95577700978123,11.223703703703706,0.3557606857526171
2023-03-22,1629656,Quentin Grimes,NYK,78.10466722408134,11.19015873015873,-0.1722266901826529
2022-11-22,1629006,Josh Okogie,PHX,60.24195967495203,11.154999999999998,-0.015267896807673847
2026-03-29,1630604,E.J. Liddell,BKN,61.46862329681902,11.120000000000001,0.09491374310874082
2025-03-08,1630639,A.J. Lawson,TOR,65.19353646780498,11.084444444444443,0.19096284091002044
2021-12-21,1630188,Jalen Smith,PHX,62.50387323852824,11.076363636363633,0.21824892343462493
2026-03-12,1642348,Justin Edwards,PHI,77.69742062175501,11.059591836734695,0.37635395240463165
2026-03-13,1642450,Daniss Jenkins,DET,68.82869855338427,11.044912280701759,0.41636281824041654
2025-11-30,1641775,Jordan Walsh,BOS,71.72656274817221,11.042499999999999,0.4132277542094922
2023-01-30,1629006,Josh Okogie,PHX,68.26330744276903,11.042222222222223,-0.06162507492550229
2019-01-26,1629026,Kenrich Williams,NOP,59.87550731412316,11.04142857142857,0.062194338855498896
2026-03-19,1642450,Daniss Jenkins,DET,70.28192871326735,11.001694915254237,0.5264019389279744
2023-12-27,1630544,Tre Mann,OKC,68.46876298176201,11.0,-0.3294493672834953
2022-02-11,1630544,Tre Mann,OKC,69.47437830598587,10.977619047619049,0.039635750978993994
2020-03-09,1629008,Michael Porter Jr.,DEN,72.3729127087116,10.919148936170213,-0.09579596076746671
2024-03-21,1630540,Miles McBride,NYK,77.04107077464647,10.901071428571427,0.6490657516126744
2021-12-20,1630598,Aaron Wiggins,OKC,63.3701322333763,10.870000000000001,-0.025008497271808577
2021-12-27,1630188,Jalen Smith,PHX,65.74942902652322,10.828333333333331,0.3536991255161043
