game_date,player_id,player_name,team_abbr,season,signal_simulated_market,signal_fair_value,forward_delta_game_score,forward_mean_game_score
2023-01-08,203081,Damian Lillard,POR,2022-23,128.04934342441678,127.88830201115697,13.056296296296281,33.25999999999999
2021-12-21,2544,LeBron James,LAL,2021-22,138.28404866291567,138.0133077385583,13.02,33.96
2024-11-08,1628368,De'Aaron Fox,SAC,2024-25,131.51459090591084,127.48398528957358,12.988888888888887,29.4
2023-01-10,203081,Damian Lillard,POR,2022-23,128.20305194752243,128.71429291097724,12.889285714285712,33.1
2024-11-10,1628368,De'Aaron Fox,SAC,2024-25,129.69987935971292,127.24638816367396,12.870000000000001,29.459999999999997
2023-11-30,203507,Giannis Antetokounmpo,MIL,2023-24,152.95189937360777,152.04608146140552,12.755555555555556,37.0
2023-01-17,202695,Kawhi Leonard,LAC,2022-23,122.30362440376474,120.90205689073407,12.712727272727273,28.24
2022-11-11,203076,Anthony Davis,LAL,2022-23,136.24960393561258,134.36458824610992,12.709090909090907,33.1
2024-11-13,1628368,De'Aaron Fox,SAC,2024-25,128.35035356944627,128.9358081533514,12.691666666666663,30.299999999999994
2022-11-09,203076,Anthony Davis,LAL,2022-23,137.56899635135335,133.4452433781056,12.600000000000001,32.620000000000005
2026-03-28,1641705,Victor Wembanyama,SAS,2025-26,136.6183371080408,134.31206988955026,12.513220338983057,33.92
2025-02-25,201939,Stephen Curry,GSW,2024-25,126.65625375570285,123.72574273672296,12.438775510204081,30.1
2024-11-07,1641705,Victor Wembanyama,SAS,2024-25,123.86261244051126,119.62709449305684,12.355555555555554,27.1
2018-12-11,201935,James Harden,HOU,2018-19,135.36947061226485,134.20309635759952,12.32521739130435,33.96
2021-01-18,1629027,Trae Young,ATL,2020-21,125.95955010610798,127.0377220456329,12.10461538461539,29.220000000000006
2025-11-12,201935,James Harden,LAC,2025-26,134.620179725063,131.84740450673667,12.100000000000005,31.720000000000006
2019-02-08,203078,Bradley Beal,WAS,2018-19,128.77045070903281,128.9113094602341,12.00181818181818,29.9
